name,province,electorialDistrictNumber,fromParty
สุทา ประทีป ณ ถลาง,ภูเก็ต,1,พลังประชารัฐ
สุทิน คลังแสง,มหาสารคาม,5,เพื่อไทย
สุพล จุลใส,ชุมพร,3,รวมพลัง
สุภาภรณ์ คงวุฒิปัญญา,กรุงเทพมหานคร,29,เพื่อไทย
สุรชาติ ชาญประดิษฐ์,ศรีสะเกษ,2,เพื่อไทย
สุรชาติ ศรีบุศกร,พิจิตร,3,พลังประชารัฐ
สุรพงษ์ อึ้งอัมพรวิไล,ปทุมธานี,1,เพื่อไทย
สุรวิทย์ คนสมบูรณ์,ชัยภูมิ,6,เพื่อไทย
สุรศักดิ์ ชิงนวรรณ์,สระแก้ว,3,พลังประชารัฐ
สุรศักดิ์ พันธ์เจริญวรกุล,พระนครศรีอยุธยา,3,ภูมิใจไทย
สุรศักดิ์ อนรรฆพันธ์,เพชรบูรณ์,4,พลังประชารัฐ
สุรินทร์ ปาลาเร่,สงขลา,8,ประชาธิปัตย์
อธิรัฐ รัตนเศรษฐ,นครราชสีมา,6,พลังประชารัฐ
เสมอกัน เที่ยงธรรม,สุพรรณบุรี,4,ชาติไทยพัฒนา
โสภณ ซารัมย์,บุรีรัมย์,4,ภูมิใจไทย
องอาจ วงษ์ประยูร,สระบุรี,3,เพื่อไทย
อดิพงษ์ ฐิติพิทยา,บุรีรัมย์,5,ภูมิใจไทย
อนันต์ ผลอำนวย,กำแพงเพชร,3,พลังประชารัฐ
อนันต์ ศรีพันธุ์,อุดรธานี,2,เพื่อไทย
อนาวิล รัตนสถาพร,ปทุมธานี,3,ภูมิใจไทย
อนุชา น้อยวงศ์,พิษณุโลก,3,พลังประชารัฐ
อนุชา นาคาศัย,ชัยนาท,1,พลังประชารัฐ
อนุดิษฐ์ นาครทรรพ,กรุงเทพมหานคร,11,เพื่อไทย
อนุมัติ ซูสารอ,ปัตตานี,3,ประชาชาติ
อนุรักษ์ จุรีมาศ,ร้อยเอ็ด,1,ชาติไทยพัฒนา
อนุรักษ์ ตั้งปณิธานนท์,มุกดาหาร,1,เพื่อไทย
อนุรักษ์ บุญศล,สกลนคร,4,เพื่อไทย
อนุสรณ์ ปั้นทอง,กรุงเทพมหานคร,12,เพื่อไทย
